Ðîñò;Âåñ;Ïîë
187.5714232;109.7022962;1
174.7060363;73.61019162;1
188.2396677;96.48111363;1
182.1966851;99.79250354;1
177.4997615;93.58267602;1
170.8226598;69.03045613;1
174.7141064;83.41400844;1
173.6052294;76.17737437;1
170.2281321;79.78659428;1
161.1794947;70.92955845;1
180.836271;84.62808415;1
181.967645;96.93477074;1
164.506476;75.79476693;1
175.978998;85.91663555;1
175.8790799;84.55064309;1
171.819874;78.08931068;1
183.9425242;88.90181693;1
162.4947873;78.40520191;1
176.8857521;84.34646602;1
172.5574523;82.7331737;1
172.5042275;78.96414017;1
176.3761773;89.67411411;1
168.0187952;67.65241089;1
191.023173;103.7468393;1
172.4487187;73.47240447;1
173.0858433;87.23082838;1
175.4876638;83.64407003;1
184.9141425;93.79963239;1
171.2499554;79.46209633;1
173.980895;69.99666164;1
174.2900008;85.03711708;1
188.0458714;96.55792532;1
181.6816687;88.44999693;1
175.7176092;93.05379653;1
176.726094;92.59144013;1
178.8183594;87.48458734;1
175.4534748;89.56382884;1
170.6715491;83.36098559;1
167.1505818;74.30921763;1
163.3326372;73.97188986;1
172.654814;78.06603057;1
183.3611419;88.0024512;1
165.7866776;76.4706332;1
167.8690505;73.10359755;1
171.4762166;74.6758627;1
178.0661571;85.67904905;1
173.3596646;84.83471753;1
183.3186812;94.81671809;1
175.7168384;87.08133125;1
185.0907148;95.84693733;1
164.5477608;75.10731346;1
178.2662167;91.1890785;1
173.9682836;78.65032215;1
171.0203104;82.27105637;1
170.156998;76.97855211;1
168.9088567;74.06327814;1
173.6167639;86.03637639;1
179.767126;87.13145004;1
180.8884461;89.88592477;1
177.833948;95.02335594;1
181.3640828;90.14049554;1
176.6620929;89.83198352;1
187.4990778;88.56717106;1
170.1720822;74.80421905;1
181.4029034;81.57093077;1
165.8094225;70.40835406;1
173.4164463;83.6822636;1
184.8240397;100.0807444;1
172.9724247;83.13499107;1
174.9976334;89.09356566;1
175.9953553;83.71682916;1
179.1289903;94.11920114;1
176.9458621;80.36323299;1
171.6919828;73.97188309;1
184.1706258;98.05815425;1
180.9825834;92.81428291;1
182.3953347;91.12044046;1
183.5027203;100.1822086;1
168.9420743;89.09290718;1
167.7137464;76.48109299;1
171.645971;82.28240953;1
173.3462842;90.09463643;1
187.5183626;107.8987464;1
177.2982595;78.47676005;1
167.5373276;72.87252455;1
180.5407046;85.53420366;1
169.1543392;94.4878431;1
175.1368991;87.7256773;1
173.340933;78.96131238;1
183.6847358;89.50956429;1
182.4111679;91.4379441;1
165.7021058;82.09159784;1
179.4269464;82.59523174;1
164.419091;80.5212079;1
170.44302;74.81840394;1
165.3984116;75.15515292;1
182.1211344;87.57104923;1
169.7555106;81.94280588;1
168.8370392;78.3554299;1
176.3052766;80.48554024;1
177.9325308;91.07425728;1
169.5287558;76.07246047;1
168.336796;70.02069151;1
173.5542579;80.71869778;1
177.992756;83.41898275;1
174.5817899;81.27201001;1
171.5923702;71.91291945;1
168.2842266;75.51180573;1
175.7227948;77.9971327;1
171.7271266;79.0767267;1
176.0035546;85.14528429;1
173.2043374;91.37776072;1
181.8819979;92.93742047;1
175.7600181;81.03652901;1
170.8453809;74.38296043;1
187.1603912;101.2562378;1
176.6245261;92.04458334;1
173.511362;85.89196626;1
172.0569672;80.80297305;1
182.132637;101.2695398;1
161.6259521;75.74998034;1
174.5518441;81.84520726;1
170.0513278;74.57557625;1
159.2757539;68.01343239;1
183.5363587;87.48764923;1
180.1079788;91.55736903;1
171.7290027;81.5728009;1
179.8359597;89.10100892;1
176.0341134;85.05743741;1
168.2569618;77.86537854;1
171.4301702;86.93859627;1
167.1478707;75.21571328;1
181.4670124;84.20078972;1
173.8995908;80.85342437;1
162.5293285;68.47122506;1
180.3448201;95.20604237;1
173.0748994;78.98313122;1
173.7243166;81.57776739;1
172.9643982;76.07580102;1
173.0770995;83.01345142;1
174.9046294;76.89651736;1
168.0180855;78.6538198;1
168.1633214;82.03607919;1
171.2775853;83.22400583;1
176.4566093;93.41401822;1
179.1102836;83.33779827;1
181.1994751;91.58934035;1
180.3449397;98.01364841;1
168.1539632;72.28586111;1
184.2599999;95.39066878;1
171.3975535;81.00605449;1
165.9900428;66.54866106;1
179.9439185;88.86032425;1
177.6437272;77.17725797;1
164.4391313;76.94061411;1
176.0433433;89.96766152;1
174.8496957;81.59080132;1
157.3208011;66.78625238;1
174.2270723;80.26496649;1
165.655182;84.11237568;1
163.4074662;80.49605548;1
174.622223;77.01926414;1
184.1237247;90.0597271;1
170.7741845;92.22237609;1
170.8495563;87.62706244;1
165.4010009;80.78682321;1
168.3075629;73.82294032;1
171.9622663;72.23878032;1
166.4479678;78.0563773;1
177.4671833;91.53607374;1
173.9439634;77.25729231;1
183.4234669;93.14728377;1
173.176013;77.00125536;1
182.8322646;90.90127462;1
167.8054473;80.99272292;1
169.306657;76.19683888;1
171.7025375;80.61969426;1
173.344698;87.65425125;1
164.6138985;73.64151503;1
171.4302344;83.1672673;1
173.179056;82.11160784;1
176.6655977;95.63346891;1
168.6617142;75.08775468;1
169.1440791;88.95621308;1
182.7171519;91.63103181;1
173.449086;77.2850805;1
177.686846;91.58643324;1
182.501868;87.70384787;1
167.0189665;81.56720617;1
170.2609043;70.97049206;1
194.8429805;106.5920267;1
184.3306483;104.5626009;1
177.1111644;92.4696848;1
184.910029;98.96435222;1
184.2499593;100.9828471;1
